query,intent
What's the difference in efficiency between today and yesterday?,compare
last 2 weeks what was my light sleep minutes?,get_history
Give me my total sleep for today,get_history
What was my avg temp like this week?,get_history
How can I improve my resting heart rate?,advice
What is my average hrv last 5 days?,get_history
Show me my movement index,get_current
Tell me the light sleep trend this year,get_history
How is my active time doing today?,get_current
"Which day had better skin temperature, last 7 days or previous 7 days?",compare
Compare rem values: this week vs last week,compare
Workout recommendation?,advice
Why has my steps taken been low lately?,advice
What is my heart rate variability right now?,get_current
Show me today's heart rate variability,get_current
How is my sleep rating?,get_current
"Which day had better vo2 max, this week or last week?",compare
Show me today's sleep length,get_current
"Which day had better heart rate variability, this week or the previous week?",compare
How can I boost my sleep time?,advice
How can I boost my rem?,advice
How did I do on sleep rating today?,get_current
How is my temperature?,get_current
Show me the history of deep sleep for the past few days,get_history
What was my deep sleep over previous 7 days?,get_history
How is my steps taken doing today?,get_current
What activity do you recommend?,advice
Tell me my sleep efficiency,get_current
What was my active time like yesterday?,get_history
What values did my rem have the past few days?,get_history
How did I do on active minutes today?,get_current
How is my sleep length doing today?,get_current
How can I prevent my movement from dropping?,advice
Tell me the current body temperature,get_current
Give me the details of sleep efficiency previous 7 days,get_history
What is the difference in recovery score between last week and the week before?,compare
How does my deep sleep compare between last week and the week before?,compare
I want to know my sleep time,get_current
How do I get a higher activity minutes?,advice
What's the difference in sleep between this month and last month?,compare
Any tips for better cardio fitness?,advice
How is my recovery?,get_current
Any advice for today?,advice
Get my sleep duration,get_current
Compare deep sleep values: Monday vs Tuesday,compare
How does my temperature compare between last week and the week before?,compare
Tell me the current total sleep,get_current
How is my deep sleep minutes doing today?,get_current
Tell me if my vo2 max improved from previous 7 days to last 7 days,compare
What should I focus on today?,advice
Do you have my recovery for today?,get_current
Show me heart rate variability for this year,get_history
What's my deep sleep now?,get_current
How did I do on sleep quality today?,get_current
Give me my sleep length for last 3 days,get_history
Tell me if my hrv average improved from Tuesday to Monday,compare
Get my sleep quality,get_current
What is the difference in sleep between today and yesterday?,compare
Show me my cardio fitness,get_current
What activity do you recommend?,advice
Show me comparison of night rhr for this week and last week,compare
Tell me the current light sleep,get_current
How did recovery index change from last month to this month?,compare
How was my hrv average the past few days?,get_history
How did temperature change from the week before to last week?,compare
Show me comparison of recovery score for this month and last month,compare
How can I boost my movement score?,advice
What's the difference in active time between Monday and Tuesday?,compare
Can I see my recovery the last couple of weeks?,get_history
What activity do you recommend?,advice
Give me a comparison of light sleep minutes between last 7 days and previous 7 days,compare
How can I make my deep sleep duration better?,advice
What's a good workout based on my recovery?,advice
the last couple of weeks what was my cardio fitness?,get_history
How did activity score change from the previous week to this week?,compare
How can I prevent my light sleep from dropping?,advice
What's a good workout based on my recovery?,advice
What was my rem over this month?,get_history
How does this week deep sleep minutes compare to the previous week?,compare
What is my average light sleep minutes this year?,get_history
How does today light sleep minutes compare to yesterday?,compare
How does my active minutes compare between this month and last month?,compare
Is my recovery index better this month or last month?,compare
How did my movement index change past 10 days?,get_history
What values did my recovery score have over the weekend?,get_history
What's the difference in temperature between last 7 days and previous 7 days?,compare
Why has my sleep quality percentage gone down recently?,advice
Can I see my light sleep the past few days?,get_history
Show me light sleep minutes for last week,get_history
What's a good training intensity for today?,advice
Any diet tips for today?,advice
How does my rem compare between this week and the previous week?,compare
What is the difference in active time between last week and the week before?,compare
Can you tell me my rem?,get_current
Give me a comparison of recovery index between last 7 days and previous 7 days,compare
Suggestions to improve deep sleep duration,advice
What is the difference in recovery index between today and yesterday?,compare
Any workout suggestions?,advice
How did sleep duration change from the previous week to this week?,compare
What should I do to raise my movement score?,advice
What was my light sleep like past week?,get_history
Tell me about my recovery score over over the weekend,get_history
Can you summarize my active minutes for this year?,get_history
Why did my sleep efficiency go down previous 7 days?,advice
Tell me my rem sleep,get_current
Show me hours slept for this year,get_history
What is the difference in movement score between last 7 days and previous 7 days?,compare
What values did my movement score have last month?,get_history
What made my recovery index decrease over this year?,advice
Show me comparison of resting heart rate for this month and last month,compare
Why is my cardio fitness low today?,advice
Get my night rhr,get_current
Tell me my movement score,get_current
Give me my sleep quality for last 30 days,get_history
"During past 10 days, what was my deep sleep minutes?",get_history
Tell me the current movement,get_current
What's my hrv average now?,get_current
Tell me if my heart rate variability improved from yesterday to today,compare
Show me today's active minutes,get_current
Compare my deep sleep duration today vs yesterday,compare
Can you summarize my rem duration for this year?,get_history
Can you summarize my sleep quality percentage for previous 7 days?,get_history
Give me diet advice,advice
What's the difference in movement index between this week and the previous week?,compare
Why is my hours slept low today?,advice
Should I work out today?,advice
Tell me the recovery index trend the last couple of weeks,get_history
What's today's hrv?,get_current
Give me my sleep time for today,get_current
Get my hrv average,get_current
How did my heart rate variability change the past few days?,get_history
Why is my sleep duration not good?,advice
How do I get a higher hrv?,advice
How should I train today?,advice
"Which day had better resting heart rate, this month or last month?",compare
What is the difference in efficiency between this week and the previous week?,compare
Get my rem sleep,get_current
What's my current total sleep?,get_current
How is my hrv average doing today?,get_current
I'd like to see my deep sleep minutes from last month,get_history
Tell me the sleep trend yesterday,get_history
What was my activity minutes over past week?,get_history
What is my average active time last 3 days?,get_history
Tell me if my heart rate variability improved from previous 7 days to last 7 days,compare
Any workout suggestions?,advice
Any diet tips for today?,advice
How does my rem compare between last week and the week before?,compare
Give me a comparison of rem sleep between last week and the week before,compare
What should I do to raise my sleep time?,advice
What's the difference in movement score between this week and the previous week?,compare
What made my sleep length decrease over last 5 days?,advice
Can I see my vo2 previous 7 days?,get_history
Tell me if my rem improved from yesterday to today,compare
Tell me about my light sleep minutes over over the weekend,get_history
What kind of exercise is good today?,advice
Do you have my rem sleep for today?,get_current
How does my activity minutes compare between this week and last week?,compare
What is my average active time previous 7 days?,get_history
What's the difference in sleep efficiency between this week and last week?,compare
What is the difference in sleep duration between this month and last month?,compare
What is the value of sleep efficiency today?,get_current
Can I see my steps taken the last couple of weeks?,get_history
How did my sleep change past 10 days?,get_history
Tell me about my light sleep minutes over last 30 days,get_history
What's the difference in total sleep between this week and last week?,compare
How did my light sleep minutes change today?,get_history
What values did my recovery score have today?,get_history
What's my sleep duration now?,get_current
How does Monday sleep quality percentage compare to Tuesday?,compare
What affects my hrv average negatively?,advice
Tell me my heart rate variability,get_current
How to improve my light sleep score?,advice
What is the value of rem duration today?,get_current
What should I do to raise my sleep time?,advice
How did I do on sleep duration today?,get_current
Show me today's steps taken,get_current
Why is my sleep efficiency not good?,advice
Compare light sleep minutes values: this week vs the previous week,compare
How did my deep sleep duration change past 10 days?,get_history
Can you tell me my active minutes?,get_current
What kind of exercise is good today?,advice
How did my night rhr look past 10 days?,get_history
What is the difference in heart rate variability between today and yesterday?,compare
Give me my sleep time for today,get_current
Give me my activity minutes for today,get_current
How is my sleep quality doing today?,get_current
Tell me the current rem duration,get_current
Give me my light sleep minutes for last 30 days,get_history
"During last week, what was my vo2 max?",get_history
What was my efficiency like the last couple of weeks?,get_history
How is my total sleep?,get_current
What's today's heart rate variability?,get_current
Compare hrv values: this week vs the previous week,compare
Is my recovery index better today or yesterday?,compare
What's the difference in hrv average between this week and the previous week?,compare
Can you tell me my movement score?,get_current
Current light sleep minutes,get_current
Compare movement index values: last week vs the week before,compare
How did my hrv average look last 3 days?,get_history
Get my light sleep,get_current
What is the value of skin temperature today?,get_current
What is my average rem sleep over the weekend?,get_history
Give me diet advice,advice
What is my active minutes today?,get_current
Any tips for better hours slept?,advice
Tips for maintaining good skin temperature,advice
Give me my efficiency for today,get_current
How did I do on recovery today?,get_current
What's the difference in movement between last 7 days and previous 7 days?,compare
What is the value of sleep length today?,get_current
Tell me if my deep sleep minutes improved from yesterday to today,compare
What should I focus on today?,advice
Show me comparison of light sleep minutes for today and yesterday,compare
What is my average sleep score yesterday?,get_history
Current deep sleep minutes,get_current
Give me my sleep score for yesterday,get_history
What made my hrv average decrease over yesterday?,advice
What is the value of resting hr today?,get_current
What is my step count today?,get_current
How did my light sleep change this year?,get_history
What activity do you recommend?,advice
Show me comparison of rem duration for last week and the week before,compare
Show me today's recovery score,get_current
How does this week rem sleep compare to last week?,compare
Tell me the vo2 trend last month,get_history
Show me vo2 max for previous 7 days,get_history
What's a good workout based on my recovery?,advice
What is my average rhr last week?,get_history
Show me avg temp for last 3 days,get_history
Workout recommendation?,advice
How does last week steps taken compare to the week before?,compare
How to improve my light sleep minutes score?,advice
How can I prevent my deep sleep from dropping?,advice
Show me comparison of deep sleep minutes for today and yesterday,compare
How did I do on avg temp today?,get_current
Compare recovery level values: this month vs last month,compare
Is my hrv average better this month or last month?,compare
Should I work out today?,advice
Show me rhr for last 30 days,get_history
Why has my efficiency been low lately?,advice
Give me my resting hr for today,get_current
How did resting heart rate change from previous 7 days to last 7 days?,compare
What is my average sleep time the last couple of weeks?,get_history
Give me my rem sleep for today,get_current
Give me some health tips,advice
Tips for maintaining good deep sleep minutes,advice
What is the difference in sleep efficiency between last week and the week before?,compare
Tell me my recovery,get_current
What was my sleep quality percentage like this month?,get_history
Tell me the sleep quality percentage trend last 3 days,get_history
What is my average rem duration last month?,get_history
Why did my step count drop?,advice
Give me my recovery score for today,get_current
Give me my light sleep for today,get_current
Give me the details of light sleep past 10 days,get_history
How does last week active minutes compare to the week before?,compare
What made my movement decrease over over the weekend?,advice
What is my average active time this month?,get_history
Show me vo2 for today,get_history
last 5 days what was my heart rate variability?,get_history
"Which day had better sleep, last 7 days or previous 7 days?",compare
Show me vo2 for last week,get_history
How is my steps taken doing today?,get_current
Give me a comparison of recovery level between today and yesterday,compare
What's today's total sleep?,get_current
Tell me the current sleep efficiency,get_current
Why is my sleep time low today?,advice
Tell me the current resting heart rate,get_current
What was my light sleep like yesterday?,get_history
Tell me my rem duration,get_current
Tell me the sleep time trend this year,get_history
How did sleep quality percentage change from last month to this month?,compare
How was my cardio fitness yesterday?,get_history
What affects my light sleep minutes negatively?,advice
How is my deep sleep minutes doing today?,get_current
Show me steps for the past few days,get_history
Can you tell me my step count?,get_current
What workout should I do?,advice
What was my deep sleep duration over the last couple of weeks?,get_history
Show me my sleep quality percentage,get_current
How did my movement index change past week?,get_history
Give me some health tips,advice
How did I do on vo2 max today?,get_current
How does my steps compare between last 7 days and previous 7 days?,compare
How does my vo2 max compare between today and yesterday?,compare
Give me my body temperature for last 3 days,get_history
Why did my sleep efficiency go down yesterday?,advice
How should I train today?,advice
Compare movement index values: last 7 days vs previous 7 days,compare
Workout recommendation?,advice
What can I do to increase my light sleep minutes?,advice
How can I boost my deep sleep minutes?,advice
What is the value of hrv average today?,get_current
What values did my light sleep have today?,get_history
Give me diet advice,advice
What was my night rhr like the last couple of weeks?,get_history
How did efficiency change from Tuesday to Monday?,compare
What was the trend of recovery level last 3 days?,get_history
What's my current deep sleep?,get_current
What's a good workout based on my recovery?,advice
Tell me my recovery level,get_current
"Which day had better hrv average, Monday or Tuesday?",compare
What should I eat today?,advice
Tell me about my body temperature over today,get_history
How was my steps taken last 30 days?,get_history
Compare deep sleep minutes values: Monday vs Tuesday,compare
Show me comparison of steps for this week and the previous week,compare
How to improve my light sleep minutes score?,advice
What was the trend of sleep rating the past few days?,get_history
Compare total sleep values: this month vs last month,compare
How did skin temperature change from yesterday to today?,compare
Can you tell me my active minutes?,get_current
Show me vo2 max for yesterday,get_history
"During last 2 weeks, what was my deep sleep duration?",get_history
Tell me my sleep quality,get_current
"During last 3 days, what was my step count?",get_history
How do I get a higher efficiency?,advice
Show me my rem duration,get_current
Workout recommendation?,advice
What made my rem duration decrease over last 3 days?,advice
How to improve my deep sleep score?,advice
What's today's steps taken?,get_current
How is my recovery score doing today?,get_current
Tell me about my resting hr over over the weekend,get_history
What should I do to raise my deep sleep?,advice
Can you tell me my movement index?,get_current
How did rem sleep change from last month to this month?,compare
Show me my light sleep,get_current
Why did my sleep rating go down the last couple of weeks?,advice
Tell me my deep sleep minutes,get_current
Give me a comparison of sleep rating between last 7 days and previous 7 days,compare
Any advice for today?,advice
What was my recovery index over last month?,get_history
Show me the history of sleep quality percentage for the last couple of weeks,get_history
How did my movement change today?,get_history
Can you summarize my heart rate variability for yesterday?,get_history
What values did my sleep efficiency have the last couple of weeks?,get_history
How does my efficiency compare between last week and the week before?,compare
Get my vo2 max,get_current
What is my hrv average right now?,get_current
What's a good workout based on my recovery?,advice
Is my deep sleep duration better last 7 days or previous 7 days?,compare
What should I focus on today?,advice
What's the difference in cardio fitness between this week and the previous week?,compare
Show me active minutes for previous 7 days,get_history
Show me my rem duration,get_current
Tell me my hrv average,get_current
How can I improve my light sleep?,advice
Get my active time,get_current
Why is my sleep rating not good?,advice
I want to know my resting hr,get_current
How does Monday temperature compare to Tuesday?,compare
How does my light sleep minutes compare between last week and the week before?,compare
What is the difference in deep sleep between this week and the previous week?,compare
Give me a comparison of rem sleep between this week and last week,compare
What's the difference in activity minutes between this month and last month?,compare
How does my steps taken compare between this week and last week?,compare
"Which day had better light sleep minutes, this week or last week?",compare
Tell me the current step count,get_current
How do I get a higher steps taken?,advice
What is my rem duration right now?,get_current
What is my deep sleep right now?,get_current
Tell me about my movement over past week,get_history
How did I do on sleep quality percentage today?,get_current
Tell me if my activity minutes improved from the previous week to this week,compare
Do you have my sleep time for today?,get_current
Can you summarize my rem sleep for today?,get_history
Show me the history of steps taken for previous 7 days,get_history
"Which day had better movement score, this week or the previous week?",compare
What kind of exercise is good today?,advice
Why has my activity minutes gone down recently?,advice
I'd like to see my step count from the past few days,get_history
last 5 days what was my activity minutes?,get_history
How to improve my temperature score?,advice
How was my resting heart rate this year?,get_history
Suggestions to improve recovery level,advice
How did my activity score change previous 7 days?,get_history
Any diet tips for today?,advice
Show me today's recovery level,get_current
Any workout suggestions?,advice
Do I need rest or training?,advice
"Which day had better deep sleep duration, this month or last month?",compare
Tell me the current skin temperature,get_current
Show me the history of hrv for last 30 days,get_history
What should I eat today?,advice
I want to know my rem sleep,get_current
How did my avg temp change last 2 weeks?,get_history
How did activity score change from last month to this month?,compare
What was the trend of rem sleep past week?,get_history
"During the past few days, what was my avg temp?",get_history
Give me my deep sleep duration for last month,get_history
What should I focus on today?,advice
What is my hrv average right now?,get_current
What's the difference in rhr between this week and the previous week?,compare
How can I improve my steps taken?,advice
Get my sleep length,get_current
Why is my steps taken low today?,advice
Show me my active minutes,get_current
How did I do on hrv average today?,get_current
What is my efficiency today?,get_current
Can I see my vo2 max last month?,get_history
Show me rhr for this month,get_history
What made my skin temperature decrease over this year?,advice
Can I see my recovery index this month?,get_history
Why is my heart rate variability low today?,advice
"Which day had better movement index, this week or the previous week?",compare
Tell me the current skin temperature,get_current
Give me my cardio fitness for this month,get_history
Is my vo2 max better last 7 days or previous 7 days?,compare
Tell me if my sleep rating improved from the week before to last week,compare
Tell me my resting hr,get_current
How was my rem the last couple of weeks?,get_history
Tips for maintaining good vo2 max,advice
What was my hrv like past 10 days?,get_history
What's today's sleep rating?,get_current
How do I get a higher vo2?,advice
Suggestions to improve activity minutes,advice
"Which day had better avg temp, this week or last week?",compare
Show me my recovery index,get_current
Compare my activity score this month vs last month,compare
What's today's cardio fitness?,get_current
Give me my total sleep for today,get_current
Show me today's active minutes,get_current
How do I get a higher avg temp?,advice
Can I see my deep sleep minutes last week?,get_history
How did sleep quality percentage change from the week before to last week?,compare
What is my average recovery previous 7 days?,get_history
What's the difference in vo2 max between last 7 days and previous 7 days?,compare
Any workout suggestions?,advice
Show me today's resting heart rate,get_current
What was my sleep duration over last month?,get_history
Current movement,get_current
What's today's step count?,get_current
Tell me my step count,get_current
Compare my sleep duration this week vs last week,compare
What is the difference in skin temperature between this month and last month?,compare
What's today's active time?,get_current
Give me a comparison of vo2 between last 7 days and previous 7 days,compare
Can I see my hrv the past few days?,get_history
Can I see my steps this week?,get_history
last week what was my night rhr?,get_history
Any workout suggestions?,advice
Is my active minutes better this week or last week?,compare
Compare sleep length values: this week vs last week,compare
Give me my efficiency for today,get_history
What's my avg temp now?,get_current
How does my skin temperature compare between today and yesterday?,compare
What workout should I do?,advice
How can I prevent my light sleep from dropping?,advice
"During last 30 days, what was my recovery level?",get_history
Tell me the step count trend the last couple of weeks,get_history
Give me a comparison of cardio fitness between this week and the previous week,compare
Why has my sleep rating gone down recently?,advice
Why is my sleep quality percentage low today?,advice
Tell me if my deep sleep improved from Tuesday to Monday,compare
Tell me the current sleep length,get_current
What is the difference in sleep efficiency between this month and last month?,compare
What's today's body temperature?,get_current
What is my rem today?,get_current
What values did my resting hr have the past few days?,get_history
"Which day had better step count, last week or the week before?",compare
What's the difference in rem duration between this week and the previous week?,compare
How is my hrv average?,get_current
Current steps taken,get_current
Should I work out today?,advice
What affects my sleep time negatively?,advice
Give me a comparison of hrv average between today and yesterday,compare
Any diet tips for today?,advice
How did rhr change from last month to this month?,compare
How did movement change from Tuesday to Monday?,compare
Do you have my hours slept for today?,get_current
How should I train today?,advice
What should I do to raise my sleep rating?,advice
How do I get a higher vo2?,advice
last 2 weeks what was my cardio fitness?,get_history
Tell me about my light sleep over last week,get_history
How does this month hrv compare to last month?,compare
"Which day had better cardio fitness, this week or the previous week?",compare
What's the difference in recovery score between this week and the previous week?,compare
Can you suggest a meal plan?,advice
Why has my avg temp been low lately?,advice
Show me active minutes for this month,get_history
What was my hrv like the past few days?,get_history
Can you summarize my active time for previous 7 days?,get_history
Show me my body temperature,get_current
What should I eat today?,advice
Give me diet advice,advice
What should I focus on today?,advice
What's today's efficiency?,get_current
How is my steps?,get_current
Can you tell me my movement score?,get_current
What is the difference in cardio fitness between this week and the previous week?,compare
Compare my rem duration this month vs last month,compare
What's the difference in body temperature between this month and last month?,compare
Why did my light sleep minutes go down last 3 days?,advice
Why did my deep sleep go down this month?,advice
Why has my deep sleep minutes been low lately?,advice
How can I improve my step count?,advice
I want to know my steps,get_current
Tell me my activity score,get_current
Tell me if my rem sleep improved from last week to this week,compare
What made my hrv decrease over this week?,advice
What caused my sleep quality to decrease?,advice
What made my sleep quality percentage decrease over this month?,advice
Tell me if my rhr improved from Tuesday to Monday,compare
How did active time change from last week to this week?,compare
What caused my deep sleep duration to decrease?,advice
What was the trend of sleep efficiency last 2 weeks?,get_history
Compare my deep sleep minutes today vs yesterday,compare
Give me a comparison of heart rate variability between this week and the previous week,compare
How was my sleep time last 3 days?,get_history
What is my active minutes today?,get_current
What is the value of rem today?,get_current
Tell me my sleep time,get_current
What values did my deep sleep duration have the past few days?,get_history
How is my sleep doing today?,get_current
What should I do to raise my vo2 max?,advice
What is my skin temperature today?,get_current
What should I focus on today?,advice
How did I do on heart rate variability today?,get_current
Workout recommendation?,advice
Tell me if my hrv improved from the previous week to this week,compare
Do you have my vo2 max for today?,get_current
Show me comparison of efficiency for last 7 days and previous 7 days,compare
Any tips for better sleep score?,advice
"Which day had better cardio fitness, today or yesterday?",compare
"Which day had better sleep quality percentage, this week or the previous week?",compare
What should I eat today?,advice
What is the value of rem duration today?,get_current
Show me hrv for the last couple of weeks,get_history
What's my current skin temperature?,get_current
Give me some health tips,advice
Show me comparison of activity minutes for this week and the previous week,compare
How does this week sleep quality percentage compare to the previous week?,compare
Tell me about my movement over previous 7 days,get_history
this year what was my active minutes?,get_history
How does today heart rate variability compare to yesterday?,compare
Compare skin temperature values: this week vs the previous week,compare
this year what was my hrv average?,get_history
Compare recovery index values: last 7 days vs previous 7 days,compare
Why has my activity minutes gone down recently?,advice
What workout should I do?,advice
this week what was my hrv average?,get_history
How did my sleep efficiency change past 10 days?,get_history
How did I do on deep sleep duration today?,get_current
How was my hrv average past week?,get_history
What's the difference in sleep between last week and the week before?,compare
Compare my vo2 max last 7 days vs previous 7 days,compare
What's the difference in heart rate variability between last 7 days and previous 7 days?,compare
How does last week recovery score compare to the week before?,compare
Any diet tips for today?,advice
Any workout suggestions?,advice
Give me my sleep efficiency for today,get_current
Any diet tips for today?,advice
How does my light sleep compare between last week and the week before?,compare
How did I do on active time today?,get_current
What should I focus on today?,advice
Can you summarize my deep sleep for the past few days?,get_history
How to improve my recovery score?,advice
What affects my light sleep negatively?,advice
today what was my total sleep?,get_history
Show me comparison of rhr for this month and last month,compare
Do you have my sleep score for today?,get_current
What should I eat today?,advice
What is the difference in vo2 max between this month and last month?,compare
Show me comparison of movement for this week and last week,compare
Can you summarize my rhr for today?,get_history
Tell me about my movement over last month,get_history
"During past week, what was my vo2 max?",get_history
I'd like to see my hrv average from today,get_history
How did vo2 max change from the previous week to this week?,compare
How did hrv average change from yesterday to today?,compare
What was my steps like over the weekend?,get_history
Tell me about my avg temp over past 10 days,get_history
How did my sleep quality change last 3 days?,get_history
Tell me if my deep sleep minutes improved from Tuesday to Monday,compare
Can I see my deep sleep minutes past 10 days?,get_history
What is the difference in body temperature between last week and the week before?,compare
Can you summarize my rem for last 3 days?,get_history
Why is my resting hr low today?,advice
Why is my step count low today?,advice
What workout should I do?,advice
Show me today's sleep duration,get_current
Get my total sleep,get_current
Give me my heart rate variability for last month,get_history
What's today's temperature?,get_current
Give me my efficiency for last 30 days,get_history
the last couple of weeks what was my hours slept?,get_history
How was my rem yesterday?,get_history
What's the difference in sleep duration between this week and the previous week?,compare
What should I eat today?,advice
"Which day had better temperature, this month or last month?",compare
Tips for maintaining good deep sleep duration,advice
How is my sleep time doing today?,get_current
Give me my movement for today,get_current
Tell me my sleep score,get_current
Tips for maintaining good sleep quality,advice
How do I get a higher sleep quality?,advice
Why did my light sleep go down past week?,advice
Can I see my hrv this week?,get_history
Show me my steps,get_current
What's today's sleep rating?,get_current
How did rem change from the week before to last week?,compare
Current rem,get_current
Can you summarize my sleep time for last 30 days?,get_history
How does this week light sleep minutes compare to the previous week?,compare
How is my total sleep doing today?,get_current
Give me my light sleep minutes for previous 7 days,get_history
Show me the history of active time for last 3 days,get_history
How was my rhr past 10 days?,get_history
What was the trend of active minutes the last couple of weeks?,get_history
Show me cardio fitness for this month,get_history
Show me today's rhr,get_current
Show me comparison of total sleep for this week and the previous week,compare
What should I focus on today?,advice
What should I eat to optimize recovery?,advice
Give me a comparison of hrv between today and yesterday,compare
Is my movement score better this week or the previous week?,compare
Tell me the current movement,get_current
What activity do you recommend?,advice
Current resting hr,get_current
What made my resting heart rate decrease over this month?,advice
How did my movement score look last 2 weeks?,get_history
What should I focus on today?,advice
Give me a comparison of movement index between last 7 days and previous 7 days,compare
What should I eat today?,advice
Tell me the current hours slept,get_current
Tell me the sleep efficiency trend last month,get_history
What can I do to increase my body temperature?,advice
What's today's deep sleep minutes?,get_current
Why is my steps not good?,advice
How does today steps compare to yesterday?,compare
How can I make my sleep quality percentage better?,advice
How does this week resting hr compare to last week?,compare
last 5 days what was my light sleep?,get_history
Why did my rhr drop?,advice
Tips for maintaining good avg temp,advice
Give me the details of body temperature this week,get_history
How is my sleep rating doing today?,get_current
Show me comparison of recovery level for this week and the previous week,compare
How did rem change from the week before to last week?,compare
How did movement change from Tuesday to Monday?,compare
Why is my body temperature not good?,advice
What should I focus on today?,advice
Can you tell me my light sleep minutes?,get_current
Any workout suggestions?,advice
Show me comparison of total sleep for today and yesterday,compare
What's my heart rate variability now?,get_current
Can I see my vo2 max last week?,get_history
Can I see my rem the last couple of weeks?,get_history
Give me a comparison of skin temperature between Monday and Tuesday,compare
Can I see my activity minutes this week?,get_history
Compare recovery level values: this month vs last month,compare
What's a good workout based on my recovery?,advice
Current rem sleep,get_current
How did my steps taken look last month?,get_history
Can you summarize my steps taken for yesterday?,get_history
Show me active time for last 2 weeks,get_history
What should I eat today?,advice
Should I work out today?,advice
What is the difference in hrv average between this week and last week?,compare
What was the trend of recovery past week?,get_history
What's the difference in deep sleep duration between today and yesterday?,compare
Why did my deep sleep duration drop?,advice
"During over the weekend, what was my activity score?",get_history
Is my rem sleep better this month or last month?,compare
Tell me my deep sleep duration,get_current
I want to know my vo2,get_current
What was my hrv like last 5 days?,get_history
Suggestions to improve steps,advice
How did my rem duration change past 10 days?,get_history
"Which day had better step count, last 7 days or previous 7 days?",compare
What is the difference in sleep time between last week and the week before?,compare
Tell me my hrv average,get_current
past week what was my hours slept?,get_history
What is my resting hr today?,get_current
How can I prevent my sleep time from dropping?,advice
Why did my avg temp drop?,advice
Recovery advice?,advice
What's the difference in active time between today and yesterday?,compare
What's my sleep efficiency now?,get_current
Why has my hrv average been low lately?,advice
Can you tell me my recovery?,get_current
I want to know my light sleep minutes,get_current
What was the trend of rhr the last couple of weeks?,get_history
What was the trend of recovery score last week?,get_history
What is my movement index right now?,get_current
Why did my sleep time drop?,advice
"Which day had better light sleep minutes, Monday or Tuesday?",compare
Tips for maintaining good light sleep minutes,advice
How do I get a higher sleep efficiency?,advice
What's my current light sleep minutes?,get_current
What workout should I do?,advice
Show me my light sleep,get_current
What was my sleep quality over previous 7 days?,get_history
Get my deep sleep,get_current
"During the past few days, what was my active minutes?",get_history
How does today light sleep compare to yesterday?,compare
What was the trend of deep sleep minutes the past few days?,get_history
What values did my vo2 have last 2 weeks?,get_history
Can you summarize my activity score for over the weekend?,get_history
What is the difference in rem duration between Monday and Tuesday?,compare
Is my rem duration better today or yesterday?,compare
Compare deep sleep minutes values: today vs yesterday,compare
Why did my vo2 max drop?,advice
What should I eat today?,advice
Is my night rhr better Monday or Tuesday?,compare
Show me light sleep for last month,get_history
What is the value of heart rate variability today?,get_current
Get my activity score,get_current
Show me steps for previous 7 days,get_history
Why has my efficiency gone down recently?,advice
How did I do on vo2 max today?,get_current
What's the difference in activity score between today and yesterday?,compare
How did sleep rating change from yesterday to today?,compare
Compare night rhr values: this month vs last month,compare
Show me today's sleep quality percentage,get_current
What's my current sleep rating?,get_current
What was the trend of deep sleep yesterday?,get_history
How to improve my cardio fitness score?,advice
Get my recovery,get_current
"Which day had better activity score, last 7 days or previous 7 days?",compare
How can I prevent my steps from dropping?,advice
How should I train today?,advice
I want to know my rem,get_current
